date,Cases_0_9,Cases_10_19,Cases_20_29,Cases_30_39,Cases_40_49,Cases_50_59,Cases_60_69,Cases_70_79,Cases_80_89,Cases_90_Plus,ICU_Beds,Hosp_Beds,ICU_Inflow,Hosp_Inflow,Total_Beds,ICU_Inflow_SMA7d,Hosp_Inflow_SMA7d,Total_Inflow,Total_Inflow_SMA7d,Total_ICU_Beds,ICU_Inflow_SMA14d,Hosp_Inflow_SMA14d,OMT_Check_ICU,OMT_Check_Hosp,Prev_LB,Prev,Prev_UB,R_LB,R,R_UB,Tested,Cases,Cases_Pct,Tested_SMA7d,Cases_Pct_SMA3d,Cases_Pct_SMA7d,Vacc_Est_Carehomes,Vacc_Adm_GGD,Vacc_Adm_Hosp,Vacc_Est,Vacc_Adm,Vacc_Adm_Doctors,RNA,RNA_SMA3d,RNA_SMA7d,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2021-05-02,232.0,584.0,834.0,377.0,448.0,459.0,214.0,146.0,13.0,6.0,804,1796.0,40.0,174.0,2600.0,46.2857142857143,260.0,214.0,306.285714285714,1170.0,47.4285714285714,259.571428571429,98.0,100.0,126448.0,186868.0,251177.0,0.79,0.965,0.95,46333.0,5831.0,12.5849826257743,58508.0,12.7,11.7,957161.0,3641673.0,957161.0,5651041.0,3641673.0,1052207.0,26496773843185.16,26594058651860.016,22911630953545.625,0,0,0,0,0,0,1
2021-05-01,250.0,661.0,966.0,496.0,485.0,522.0,253.0,125.0,30.0,12.0,811,1827.0,60.0,260.0,2638.0,47.4285714285714,264.714285714286,320.0,312.142857142857,1214.0,48.5714285714286,262.571428571429,98.0,101.0,131130.0,187362.0,244902.0,0.79,0.97,0.92,47900.0,6111.0,12.7578288100209,59784.0,12.1,11.5,947412.0,3573168.0,947412.0,5557642.0,3573168.0,1037062.0,28506190818379.82,23282274603982.68,23434446955775.145,0,0,0,0,0,1,0
2021-04-30,287.0,878.0,1291.0,705.0,800.0,805.0,373.0,189.0,41.0,8.0,807,1899.0,48.0,311.0,2706.0,45.8571428571429,266.571428571429,359.0,312.428571428571,1230.0,50.1428571428571,262.285714285714,91.0,102.0,133957.0,186625.5,240220.0,0.8,0.95,0.89,58870.0,7514.0,12.7637166638356,60923.0,11.5,11.2,937631.0,3498185.0,937631.0,5455349.0,3498185.0,1019533.0,24779211294015.07,19472943093542.168,25382276203867.707,0,0,0,0,1,0,0
2021-04-29,411.0,1041.0,1387.0,886.0,874.0,881.0,450.0,205.0,51.0,10.0,813,1891.0,42.0,296.0,2704.0,46.0,256.0,338.0,302.0,1253.0,50.4285714285714,263.0,91.0,97.0,134802.0,187037.5,238037.0,0.81,0.925,0.88,64866.0,7199.0,11.0982641137113,61103.0,11.3,11.1,927824.0,3429039.0,927824.0,5360802.0,3429039.0,1003939.0,16561421699553.146,19168086259647.902,24639879287016.105,0,0,0,1,0,0,0
2021-04-28,476.0,1148.0,1530.0,976.0,999.0,1075.0,518.0,245.0,44.0,10.0,814,1797.0,42.0,232.0,2611.0,45.2857142857143,255.0,274.0,300.285714285714,1220.0,50.7142857142857,254.857142857143,89.0,100.0,136154.0,187619.5,238264.0,0.83,0.91,0.89,68210.0,7308.0,10.7139715584225,62061.0,11.2,11.0,918052.0,3357134.0,918052.0,5265860.0,3357134.0,990674.0,17078196287058.293,21345939673228.723,24941226824007.81,0,0,1,0,0,0,0
2021-04-27,493.0,1094.0,1215.0,880.0,1027.0,1008.0,502.0,258.0,45.0,9.0,820,1777.0,57.0,335.0,2597.0,46.0,264.142857142857,392.0,310.142857142857,1240.0,50.5714285714286,245.142857142857,91.0,108.0,136200.0,187084.5,238373.0,0.87,0.91,0.92,54935.0,6687.0,12.1725675798671,64060.0,11.1,10.9,908244.0,3285136.0,908244.0,5176010.0,3285136.0,982630.0,23864640792332.28,25705369530473.22,24850749129894.504,0,1,0,0,0,0,0
2021-04-26,484.0,1098.0,1217.0,949.0,1147.0,1122.0,580.0,281.0,61.0,20.0,813,1759.0,35.0,212.0,2572.0,46.1428571428571,263.0,247.0,309.142857142857,1217.0,48.7142857142857,235.714285714286,95.0,112.0,136748.0,186576.5,238954.0,0.91,0.94,0.96,68443.0,7452.0,10.8878921146063,67601.0,10.7,10.7,981065.0,3214433.0,981065.0,5293851.0,3214433.0,1098353.0,23094981940295.605,31797487784705.05,25345379116964.85,1,0,0,0,0,0,0
2021-04-25,487.0,971.0,1070.0,824.0,1009.0,1038.0,516.0,281.0,47.0,9.0,841,1691.0,48.0,207.0,2532.0,47.4285714285714,259.571428571429,255.0,307.0,1222.0,48.8571428571429,241.142857142857,97.0,108.0,136022.0,185706.5,237714.0,0.94,0.975,0.99,55266.0,5702.0,10.3173741540911,69623.0,10.9,10.6,973697.0,3141439.0,973697.0,5207495.0,3141439.0,1092359.0,30156485858791.773,30626638096624.48,24978220158754.645,0,0,0,0,0,0,1
2021-04-24,493.0,1047.0,1105.0,971.0,1060.0,1121.0,543.0,327.0,59.0,11.0,816,1698.0,49.0,273.0,2514.0,48.5714285714286,262.571428571429,322.0,311.142857142857,1229.0,47.2857142857143,239.714285714286,103.0,110.0,136665.0,184572.5,238059.0,0.95,1.01,0.99,55874.0,6077.0,10.8762572931954,70166.0,11.0,10.5,966316.0,3075486.0,966316.0,5128167.0,3075486.0,1086365.0,42140995555027.79,26798094296525.57,24102867311632.96,0,0,0,0,0,1,0
2021-04-23,510.0,1112.0,1177.0,1044.0,1161.0,1209.0,605.0,302.0,67.0,20.0,837,1776.0,49.0,237.0,2613.0,50.1428571428571,262.285714285714,286.0,312.428571428571,1278.0,46.2857142857143,244.428571428571,108.0,107.0,136144.0,182480.5,237107.0,0.93,1.025,0.97,60125.0,6860.0,11.4095634095634,70499.0,10.7,10.6,956012.0,3005664.0,956012.0,5039385.0,3005664.0,1077709.0,19582432876053.867,18232713254271.363,25063339996732.22,0,0,0,0,1,0,0
